unit,unit_shorthand,unit_full_title,origin,cost,search_name
mjolnir-4,Mjolnir 4★,Mjolnir,Selection by Lightning Round,38,Mjolnir 4
nelson-4,Nelson 4★,Nelson,One-Armed Admiral,38,Nelson 4
siren-4,Siren 4★,Siren,Siren Song,38,Siren 4
shizuka_gozen-4,Shizuka Gozen 4★,Shizuka Gozen,Red-Hot Dancer,38,Shizuka Gozen 4
yuuya-4,Yuuya 4★,"Yuuya, the Earth Spider",Animal Assassin,38,Yuuya 4
kanetsugu_naoe-4,Kanetsugu Naoe 4★,Kanetsugu Naoe,"Heaven, Earth, and Man",38,Kanetsugu Naoe 4
reflect_mirror-4,Reflect & M.I.R.R.O.R. 4★,Reflect & M.I.R.R.O.R.,The Beautiful But Deluded Queen,38,Reflect & M.I.R.R.O.R. 4
cyclops-4,Cyclops 4★,Cyclops,Heartless Executioner,38,Cyclops 4
nue-3,Nue 3★,Nue,Thundercloud Assassin,33,Nue 3
witch_octopus-4,Witch Octopus 4★,Witch Octopus,Ready to Become Human?,38,Witch Octopus 4
haydn_ogre-4,Haydn Ogre 4★,Haydn Ogre,"Kitty, Meet Murderous Mouse",38,Haydn Ogre 4
rahu-3,Rahu 3★,Rahu,Her Majesty's Executioner,33,Rahu 3
pazuzu-4,Pazuzu 4★,Pazuzu,Morphing Wind,38,Pazuzu 4
ezo-4,Ezo 4★,Feisty Fox Ezo,A Hunter's Elegy,38,Ezo 4
yuki-onna-4,Yuki-Onna 4★,Yuki-Onna,Til Hypothermia Do Us Part,38,Yuki-Onna 4
lessa_gigan-4,Lessa & Gigan 4★,Tag Team Lessa & Gigan,Backstreet Brawl,38,Lessa & Gigan 4
megalodon-4,Megalodon 4★,Megalodon,Terror of the Deep,38,Megalodon 4
sugarful-4,Sugarful 4★,Sugarful,Sibling Rivalry,38,Sugarful 4
jupiter,Jupiter,Silent Threat Jupiter,The Creeping Threat,58,Jupiter
shell_recompiler,Shell Recompiler,シェル・リコンパイラ,True Creeping Threat,99,Shell Recompiler
mal,MaL,MaL,Never Summer Trails,99,
dir,DiR,DiR,Never Summer Trails,99,
amo,AMo,AMo,Never Summer Trails,99,
